# 
# simt, lat, lon
263.50000000,51.98658592,5.41620649
264.00000000,51.98737962,5.41574821
264.50000000,51.98817332,5.41528991
265.00000000,51.98896701,5.41483159
265.50000000,51.98976071,5.41437326
266.00000000,51.99055440,5.41391491
266.50000000,51.99134809,5.41345654
267.00000000,51.99214178,5.41299816
267.50000000,51.99293547,5.41253976
268.00000000,51.99372916,5.41208135
268.50000000,51.99452284,5.41162292
269.00000000,51.99531652,5.41116447
269.50000000,51.99611020,5.41070600
270.00000000,51.99690388,5.41024753
270.50000000,51.99769756,5.40978903
271.00000000,51.99849123,5.40933052
271.50000000,51.99928491,5.40887199
272.00000000,52.00007858,5.40841344
272.50000000,52.00087225,5.40795488
273.00000000,52.00166591,5.40749631
273.50000000,52.00245958,5.40703771
274.00000000,52.00325325,5.40657910
274.50000000,52.00404691,5.40612048
275.00000000,52.00484057,5.40566183
275.50000000,52.00563423,5.40520318
276.00000000,52.00642789,5.40474450
276.50000000,52.00722154,5.40428581
277.00000000,52.00801519,5.40382710
277.50000000,52.00880885,5.40336838
278.00000000,52.00960250,5.40290964
278.50000000,52.01039614,5.40245088
279.00000000,52.01118979,5.40199211
279.50000000,52.01198344,5.40153332
280.00000000,52.01277708,5.40107452
280.50000000,52.01357072,5.40061570
281.00000000,52.01436436,5.40015686
281.50000000,52.01515800,5.39969800
282.00000000,52.01595163,5.39923913
282.50000000,52.01674527,5.39878025
283.00000000,52.01753890,5.39832135
283.50000000,52.01833253,5.39786243
284.00000000,52.01912616,5.39740349
284.50000000,52.01991979,5.39694454
285.00000000,52.02071341,5.39648557
285.50000000,52.02150703,5.39602659
286.00000000,52.02230066,5.39556759
286.50000000,52.02309427,5.39510857
287.00000000,52.02388789,5.39464954
287.50000000,52.02468151,5.39419049
288.00000000,52.02547512,5.39373142
288.50000000,52.02626874,5.39327234
289.00000000,52.02706235,5.39281324
289.50000000,52.02785596,5.39235413
290.00000000,52.02864956,5.39189500
290.50000000,52.02944317,5.39143585
291.00000000,52.03023677,5.39097669
291.50000000,52.03103037,5.39051751
292.00000000,52.03182397,5.39005831
292.50000000,52.03261757,5.38959910
293.00000000,52.03341117,5.38913987
293.50000000,52.03420476,5.38868063
294.00000000,52.03499836,5.38822137
294.50000000,52.03579195,5.38776209
295.00000000,52.03658554,5.38730280
295.50000000,52.03737913,5.38684349
296.00000000,52.03817271,5.38638416
296.50000000,52.03896630,5.38592482
297.00000000,52.03975988,5.38546546
297.50000000,52.04055346,5.38500608
298.00000000,52.04134704,5.38454669
298.50000000,52.04214061,5.38408728
299.00000000,52.04293419,5.38362786
299.50000000,52.04372776,5.38316842
300.00000000,52.04452133,5.38270896
300.50000000,52.04531490,5.38224949
301.00000000,52.04610847,5.38179000
301.50000000,52.04690204,5.38133049
302.00000000,52.04769560,5.38087097
302.50000000,52.04848917,5.38041143
303.00000000,52.04928273,5.37995188
303.50000000,52.05007629,5.37949231
304.00000000,52.05086984,5.37903272
304.50000000,52.05166340,5.37857312
305.00000000,52.05245695,5.37811350
305.50000000,52.05325050,5.37765386
306.00000000,52.05404405,5.37719421
306.50000000,52.05483760,5.37673454
307.00000000,52.05563115,5.37627485
307.50000000,52.05642469,5.37581515
308.00000000,52.05721824,5.37535543
308.50000000,52.05801178,5.37489570
309.00000000,52.05880532,5.37443595
309.50000000,52.05959885,5.37397618
310.00000000,52.06039239,5.37351640
310.50000000,52.06118592,5.37305660
311.00000000,52.06197946,5.37259678
311.50000000,52.06277299,5.37213695
312.00000000,52.06356652,5.37167710
312.50000000,52.06436004,5.37121724
313.00000000,52.06515357,5.37075735
313.50000000,52.06594709,5.37029746
314.00000000,52.06674061,5.36983754
314.50000000,52.06753413,5.36937761
315.00000000,52.06832765,5.36891767
315.50000000,52.06912117,5.36845770
316.00000000,52.06991468,5.36799772
316.50000000,52.07070819,5.36753773
317.00000000,52.07150170,5.36707771
317.50000000,52.07229521,5.36661769
318.00000000,52.07308872,5.36615764
318.50000000,52.07388223,5.36569758
319.00000000,52.07467573,5.36523750
319.50000000,52.07546923,5.36477741
320.00000000,52.07626273,5.36431730
320.50000000,52.07705623,5.36385717
321.00000000,52.07784973,5.36339703
321.50000000,52.07864322,5.36293687
322.00000000,52.07943671,5.36247669
322.50000000,52.08023020,5.36201650
323.00000000,52.08102369,5.36155629
323.50000000,52.08181718,5.36109607
324.00000000,52.08261067,5.36063583
324.50000000,52.08340415,5.36017557
325.00000000,52.08419763,5.35971529
325.50000000,52.08499108,5.35925486
326.00000000,52.08578243,5.35878499
326.50000000,52.08657044,5.35830043
327.00000000,52.08735499,5.35780125
327.50000000,52.08813599,5.35728751
328.00000000,52.08891334,5.35675928
328.50000000,52.08968692,5.35621663
329.00000000,52.09045665,5.35565963
329.50000000,52.09122242,5.35508834
330.00000000,52.09198413,5.35450285
330.50000000,52.09274168,5.35390323
331.00000000,52.09349498,5.35328956
331.50000000,52.09424392,5.35266191
332.00000000,52.09498841,5.35202037
332.50000000,52.09572835,5.35136503
333.00000000,52.09646364,5.35069596
333.50000000,52.09719419,5.35001325
334.00000000,52.09791991,5.34931700
334.50000000,52.09864069,5.34860729
335.00000000,52.09935644,5.34788421
335.50000000,52.10006708,5.34714787
336.00000000,52.10077250,5.34639835
336.50000000,52.10147262,5.34563575
337.00000000,52.10216735,5.34486017
337.50000000,52.10285659,5.34407171
338.00000000,52.10354025,5.34327048
338.50000000,52.10421825,5.34245658
339.00000000,52.10489049,5.34163011
339.50000000,52.10555690,5.34079119
340.00000000,52.10621737,5.33993991
340.50000000,52.10687183,5.33907640
341.00000000,52.10752020,5.33820076
341.50000000,52.10816237,5.33731311
342.00000000,52.10879828,5.33641357
342.50000000,52.10942784,5.33550225
343.00000000,52.11005097,5.33457926
343.50000000,52.11066758,5.33364474
344.00000000,52.11127760,5.33269880
344.50000000,52.11188094,5.33174156
345.00000000,52.11247756,5.33077321
345.50000000,52.11307140,5.32980030
346.00000000,52.11366522,5.32882736
346.50000000,52.11425904,5.32785440
347.00000000,52.11485285,5.32688141
347.50000000,52.11544665,5.32590839
348.00000000,52.11604045,5.32493535
348.50000000,52.11663423,5.32396229
349.00000000,52.11722801,5.32298919
349.50000000,52.11782178,5.32201607
350.00000000,52.11841554,5.32104293
350.50000000,52.11900930,5.32006976
351.00000000,52.11960304,5.31909656
351.50000000,52.12019678,5.31812334
352.00000000,52.12079051,5.31715009
352.50000000,52.12138423,5.31617682
353.00000000,52.12197795,5.31520352
353.50000000,52.12257165,5.31423019
354.00000000,52.12316535,5.31325684
354.50000000,52.12375904,5.31228346
355.00000000,52.12435272,5.31131006
355.50000000,52.12494639,5.31033663
356.00000000,52.12554006,5.30936317
356.50000000,52.12613372,5.30838969
357.00000000,52.12672737,5.30741618
357.50000000,52.12732101,5.30644265
358.00000000,52.12791464,5.30546909
358.50000000,52.12850827,5.30449550
359.00000000,52.12910189,5.30352189
359.50000000,52.12969550,5.30254825
360.00000000,52.13028910,5.30157459
360.50000000,52.13088269,5.30060090
361.00000000,52.13147628,5.29962719
361.50000000,52.13206985,5.29865344
362.00000000,52.13266342,5.29767968
362.50000000,52.13325699,5.29670588
363.00000000,52.13385054,5.29573207
363.50000000,52.13444408,5.29475822
364.00000000,52.13503762,5.29378435
364.50000000,52.13563115,5.29281045
365.00000000,52.13622467,5.29183653
365.50000000,52.13681819,5.29086258
366.00000000,52.13741169,5.28988861
366.50000000,52.13800519,5.28891460
367.00000000,52.13859868,5.28794058
367.50000000,52.13919216,5.28696653
368.00000000,52.13978563,5.28599245
368.50000000,52.14037910,5.28501834
369.00000000,52.14097255,5.28404421
369.50000000,52.14156600,5.28307005
370.00000000,52.14215944,5.28209587
370.50000000,52.14275288,5.28112166
371.00000000,52.14334630,5.28014743
371.50000000,52.14393972,5.27917317
372.00000000,52.14453313,5.27819888
372.50000000,52.14512653,5.27722457
373.00000000,52.14571992,5.27625023
373.50000000,52.14631331,5.27527587
374.00000000,52.14690668,5.27430148
374.50000000,52.14749862,5.27332475
375.00000000,52.14808408,5.27233771
375.50000000,52.14866259,5.27133983
376.00000000,52.14923406,5.27033123
376.50000000,52.14979844,5.26931205
377.00000000,52.15035563,5.26828242
377.50000000,52.15090557,5.26724247
